Title;Author full names;Year;Author Keywords;Abstract;DOI
Interfacial engineering of a CoSe@NiFe heterostructure electrocatalyst for high-efficiency water and urea oxidation;"Yu, X Y; Zhang, W L; Ma, L J; Tang, J X; Lu, W B; Li, J S; Zhang, J J; Xu, X H";2025;"NANOSHEETS; OER; OXYGEN EVOLUTION";Electro-oxidation reactions as critical half-reactions in both overall and assisted water electrolysis play a pivotal role in realizing highly effective and energy-saving hydrogen generation and achieving simultaneous wastewater degradation. Herein, we synthesize a porous and hierarchical CoSe@NiFe/NF heterostructure electrocatalyst constructed by coupling uniform CoSe nanosheets with well-dispersed Ni(OH)2 and Fe2O3 spherical nanoparticles in situ grown on a Ni foam (NF) substrate via a facile and scalable two-step method (i.e., electrodeposition and hydrothermal treatment). Differing from its monophasic counterpart, the CoSe@NiFe/NF electrode possesses impressive multifunctional electrocatalytic activity, exhibiting low potentials of 1.46, 1.36, 1.38 and 1.38 V at 100 mA cm-2 for the oxygen evolution reaction (OER), urea oxidation reaction (UOR), methanol oxidation reaction (MOR) and ethanol oxidation reaction (EOR), respectively. Excitingly, the durability is higher than 90 h at high current densities of 400 and 100 mA cm-2 for the OER and UOR, respectively, without obvious attenuation. In situ Raman spectroscopy and ex situ characterization unveiled the surface self-reconstruction of Ni(OH)2 and Fe2O3 to evolve Ni(Fe)-oxyhydroxides as the real active substances for the OER. Moreover, density functional theory (DFT) calculations further reveal that the reconstructed heterogeneous interface can regulate the intrinsic electronic structure and optimize the adsorption/desorption of reaction intermediates, thereby accelerating charge transfer and facilitating the reaction kinetics during the OER. Interestingly, the asymmetric electrolyte cell (CoSe@NiFe/NF||Pt/C/NF) needs cell voltages of only 1.44 and 1.40 V to drive a current density of 100 mA cm-2 for overall water and urea splitting with long-term durability for more than 20 h. This study not only provides valuable insights into the intricate mechanisms governing electrocatalysis but also presents a facile and efficient scheme for constructing multifunctional all-in-one electrocatalysts tailored for sustainable green hydrogen production.;10.1039/d4gc05278a
One-step synthesis of NiS2/rGO composite for efficient electrocatalytic urea oxidation;"Wu, T H; Zhan, J J; Hou, B W; Qiu, Z T";2022;"CATALYST; ELECTROLYSIS; GRAPHENE OXIDE-FILMS; HYDROGEN EVOLUTION; NI; REDUCTION; environmentally protective; hydrothermal; purification; sustainability; waste management";Urea electrolysis receives increasing attention, because it can remediate urea contaminated wastewater and produce hydrogen fuel simultaneously. Developing advanced catalysts for urea oxidation reaction is highly desirable but still challenging. In this work, we reveal that nickel disulfide (NiS2) and reduced graphene oxide (rGO) can be successfully prepared by one-step hydrothermal reaction. NiS2/rGO composite material is characterized to exhibit improved electrical conductivity and larger electrochemical active surface area, which hold the key to promote the reaction kinetics of urea oxidation. The overall reaction rate constant is determined as 2.88 x10(5) cm(3) mol(-1) s(-1) for NiS2/rGO, which is approximate to 75 times higher than that of NiS2 counterpart (3.87 x 10(3) cm(3) mol(-1) s(-1)). As a result, the NiS2/rGO electrocatalyst demonstrates superior catalytic performance toward urea oxidation with high catalytic current responses (220 vs. 113 mA cm(-2) at 1.5 V), low Tafel slope (51 vs 87 mV dec(-1)), and turn-over frequency (0.055 vs. 0.024 s(-1)) in comparison with pure NiS2. Moreover, NiS2/rGO renders stable catatlytic performance in a 30,000 s test, addressing the crucial role of rGO in the composite sample.;10.1557/s43581-022-00032-0
Bioelectrochemical production of hydrogen in an innovative pressure-retarded osmosis/microbial electrolysis cell system: experiments and modeling;"Yuan, H Y; Lu, Y B; Abu-Reesh, I M; He, Z";2015;"DESALINATION CELL; ENERGY EFFICIENCY; MICROBIAL FUEL-CELL; OSMOSIS MEMBRANES; RECOVERY; REVERSE-ELECTRODIALYSIS; RO-PRO; SALINITY GRADIENTS; SUSTAINABLE POWER-GENERATION; WASTE-WATER TREATMENT";"Background: While microbial electrolysis cells (MECs) can simultaneously produce bioelectrochemical hydrogen and treat wastewater, they consume considerable energy to overcome the unfavorable thermodynamics, which is not sustainable and economically feasible in practical applications. This study presents a proof-of-concept system in which hydrogen can be produced in an MEC powered by theoretically predicated energy from pressure-retarded osmosis (PRO). The system consists of a PRO unit that extracts high-quality water and generates electricity from water osmosis, and an MEC for organic removal and hydrogen production. The feasibility of the system was demonstrated using simulated PRO performance (in terms of energy production and effluent quality) and experimental MEC results (e.g., hydrogen production and organic removal). Results: The PRO and MEC models were proven to be valid. The model predicted that the PRO unit could produce 485 mL of clean water and 579 J of energy with 600 mL of draw solution (0.8 M of NaCl). The amount of the predicated energy was applied to the MEC by a power supply, which drove the MEC to remove 93.7 % of the organic compounds and produce 32.8 mL of H-2 experimentally. Increasing the PRO influent volume and draw concentration could produce more energy for the MEC operation, and correspondingly increase the MEC hydraulic retention time (HRT) and total hydrogen production. The models predicted that at an external voltage of 0.9 V, the MEC energy consumption reached the maximum PRO energy production. With a higher external voltage, the MEC energy consumption would exceed the PRO energy production, leading to negative effects on both organic removal and hydrogen production. Conclusions: The PRO-MEC system holds great promise in addressing water-energy nexus through organic removal, hydrogen production, and water recovery: (1) the PRO unit can reduce the volume of wastewater and extract clean water; (2) the PRO effluents can be further treated by the MEC; and (3) the osmotic energy harvested from the PRO unit can be applied to the MEC for sustainable bioelectrochemical hydrogen production.";10.1186/s13068-015-0305-0
Electrochemical Deammonification of Synthetic Swine Wastewater;"Diaz, L A; Botte, G G";2012;"AMMONIA NITROGEN; CYCLIC VOLTAMMETRY; DEMS; ELECTROOXIDATION; LIQUID; OXIDATION; PLATINUM; REMOVAL";The ammonia electrolysis process, which presents as only products nitrogen and hydrogen fuel, was evaluated for the deammonification of wastewater. The effects of cell voltage, pH, and flow rate were analyzed for single pass ammonia electrooxidation of synthetic swine wastewater. A surface response analysis was performed to obtain quadratic models that predict the NH3 conversion and hydrogen (H-2) production where pH was identified as the variable with the most statistic significance to explain changes in ammonia conversion with hydrogen production. NH3 conversions above 80% and specific energy consumption under 3 kW.h kg(-1) of NH3 without considering the energy that can be obtained from the H-2 produced, show that the ammonia electrolysis technology has promising potential for the deammonification of wastewater with less energy consumption than the conventional nitrification/denitrification process.;10.1021/ie3015022
SnO2, IrO2, Ta2O5, Bi2O3, and TiO2 nanoparticle anodes: electrochemical oxidation coupled with the cathodic reduction of water to yield molecular H2;"Choi, J; Qu, Y; Hoffmann, M R";2012;"BLUE; DEGRADATION; DOPED DIAMOND ELECTRODE; EFFLUENT; Electrochemical oxidation; HYDROGEN-PRODUCTION; Hydrogen production; INDUSTRY; Nanoparticle coatings; Organic compound oxidation; PHENOL; SYSTEM; Semiconductor composites; Sustainable development; WASTE-WATER; Wastewater treatment";In recent years, the search for environmentally friendly alternative energy sources with reduced carbon footprints has increased. The coupling of photovoltaic power sources with advanced electrolysis systems for hydrogen production via water splitting using organic contaminants as sacrificial electron donors has been considered to a be viable alternative. In this report, we demonstrated the feasibility of a scaled-up rooftop prototype of the proposed hybrid photovoltaic-electrolysis system, which utilizes semiconductor nanoparticles coated on to metal substrates as electrodes for the generation of hydrogen coupled with the oxidation of wastewater. Application of an anodic bias of >2.0 V to bismuth-doped TiO2 (BiOx-TiO2) on Ti metal anodes with a sequential under-coatings of nanoparticulate SnO2, IrO2, Ta2O5, and Bi2O3 results in the electrochemical degradation of a variety of organic chemical contaminants in water (i.e., rhodamine B (Rh. B), methylene blue (MB), salicylic acid, triclosan, and phenol) and actual wastewater from a chemical manufacturing plant, while at the same time, molecular hydrogen is produced at stainless steel (SS) cathodes. The kinetics of the anodic substrates oxidation is investigated as a function of the cell current (I-cell), substrate concentration, and background electrolyte composition (e. g., NaCl, Na2SO4, or seawater). Average current efficiencies were found to be in the range of 4-22 %, while the cathodic current and energy efficiencies for hydrogen production were found to be in the range of 50-70 % and 20-40 %, respectively.;10.1007/s11051-012-0983-5
Biohydrogen production from potato processing wastewater using double-chamber microbial electrolysis cell with Ru and Pd coated graphite cathodes;"Muratçobanoglu, F; Oguz, M; Demirel, S";2026;"ANODE; Biohydrogen; Double chamber MEC; Electrode coating; Energy efficiency; FUEL-CELL; HYDROGEN-PRODUCTION; IMPACT; Microbial community; OXIDE; OXYGEN REDUCTION REACTION; PERFORMANCE; POWER-GENERATION; Potato industry wastewater; SHEWANELLA-ONEIDENSIS MR-1; Techno economic analysis; VOLTAGE";Microbial electrolysis cells (MECs) are promising for biohydrogen production from waste streams, yet their overall energy efficiency requires enhancement to be viable. This study, for the first time, utilized doublechamber MECs with graphite (Gr), ruthenium-coated graphite (Ru), and palladium-coated graphite (Pd) cathodes for biohydrogen production from potato processing wastewater under various applied voltages. The highest hydrogen evolution rate (HER) and energy efficiency (eta e) were achieved in the Ru reactor at 1.0 V, reaching 0.43 LH2 L- 1d- 1 and 106 %, respectively. These represent improvements of 81 % in HER and 33 % in eta e compared to the uncoated Gr reactor. The surface morphology of the Ru and Pd coated electrodes was characterized by SEM and XRD. Next-generation sequencing of the anode biofilm indicated a microbial community comprising polysaccharide-consuming bacteria, such as the phylum Bacteroidetes, and key exoelectrogens, including the genus Geobacter. An Artificial Neural Network (ANN) model (R2 = 0.9432) was also developed to simulate HER performance, confirming high performance of Ru-coated cathode under various voltages. A techno-economic analysis (TEA) was conducted to assess the effect of cathode coating on the payback period. The analysis revealed that Pd and Ru coatings reduced the payback period by approximately 36 % and 34 %, respectively.;10.1016/j.bioelechem.2025.109130
Self-supported CoNiFe@Mo-Ni3S2 heterophase electrocatalyst for direct coal gasification wastewater electrolysis;"Cheng, S M; Cheng, X X; Guo, F Q; An, D H; Zhang, J S";2026;"AEMWE system; Ammonia-nitrogen conversion; Coal gasification wastewater (CGW); HIGHLY EFFICIENT; Heterophase; Self-supported electrocatalyst";Development of robust and corrosion-resistant anodes is crucial for large-scale alkaline industrial coal gasification wastewater (CGW) electrolysis in an anion-exchange membrane water electrolyser (AEMWE). Herein, we develop a corrosion strategy to construct a self-supported electrocatalyst (CoNiFe@Mo-Ni3S2) with high mechanical stability by anchoring the CoNiFe medium-entropy alloy catalytic layer onto a dense interlayer of Mo-Ni3S2 support. The CoNiFe@Mo-Ni3S2 catalyst exhibits a strengthened heterophase between the crystalline Mo-Ni3S2 interlayer and amorphous CoNiFe catalytic layer, significantly facilitating electron diffusion and reaction kinetics. In 1 M KOH +50% CGW, the CoNiFe@Mo-Ni3S2 electrode delivers low apparent anodic overpotentials of 124 and 202 mV at 50 and 100 mA cm- 2, respectively, where OER is coupled with the electrooxidation of ammonia nitrogen and organic pollutants. The CoNiFe@Mo-Ni3S2-based AEMWE single cell further achieves a current density of 0.5 A cm-2 at 1.74 V. Remarkably, the system simultaneously achieves 92.6% ammonia-nitrogen removal and 51.4% chemical oxygen demand (COD) reduction. Post-reaction Raman, XRD, and XPS analyses reveal that interfacial electronic coupling between crystalline Mo-Ni3S2 and amorphous CoNiFe promotes surface reconstruction into high-valence (Ni, Co, Fe)-OOH species, while the residual sulfide interlayer provides conductive and mechanically robust support. These results demonstrate the potential of CoNiFe@Mo-Ni3S2 for coupling hydrogen production with CGW treatment and resource utilization.;10.1016/j.ijhydene.2026.156240
Regulating electronic structure by Mn doping for nickel cobalt hydroxide nanosheets/carbon nanotube to promote oxygen evolution reaction and oxidation of urea and hydrazine;"Wu, K L; Cao, C Y; Li, K R; Lyu, C; Cheng, J R; Li, H Y; Hu, P F; Wu, J W; Lau, W M; Zhu, X X; Qian, P; Zheng, J L";2023;"EFFICIENT; ELECTROCATALYST; Electrocatalytic water splitting; Energy-saving; LAYERED DOUBLE HYDROXIDE; Mn doping; Oxygen evolution reaction; PERFORMANCE";Electrocatalytic water splitting is one of the direct and efficient means to yield high-purity hydrogen, but it still exists some challenges in addition to the sluggish anodic oxygen evolution reaction (OER). Constructing highly -efficient electrocatalysts with superior properties plays an essential role in industrial hydrogen production. In this work, a novel electrocatalyst with a distinctive three-dimensional (3D) structure is constructed by inter-twining two-dimensional (2D) hexagonal NiCo hydroxide nanosheets (NiCo HNS) with one-dimensional (1D) carbon nanotubes (CNTs). The strategy of elemental doping engineering is employed to further enhance the catalytic performance. The as-fabricated composite of Mn-doped nickel cobalt hydroxide nanosheets intertwined with CNTs (1.5Mn-NiCo HNS/CNT) delivers superior OER electrocatalytic performance, which requires an overpotential of only 239 mV to achieve the current density of 10 mA cm-2 in 1 M KOH. Compared to NiCo HNS/ CNT, the 1.5Mn-NiCo HNS/CNT electrocatalyst exhibits characteristics of improved electrical conductivity, larger electrochemical active surface area (ECSA), and faster reaction kinetics due to Mn doping. Density functional theory (DFT) calculations revealed that the adsorption of OH- during the first step of OER process was the potential determining step for the Mn substituted Co sites, and the Mn substituted Co sites were the optimum reactive sites that determined the OER performance of the 1.5Mn-NiCo HNS/CNT. Mn doping was proved beneficial to optimize the reaction path and decrease the reaction kinetics energy barrier. The addition of urea or hydrazine into the electrolyte directly decreases the energy consumption and realize their decomposition as pollutants in industrial and agricultural wastewater.;10.1016/j.cej.2022.139527
Maximizing Bio-Hydrogen Production from an Innovative Microbial Electrolysis Cell Using Artificial Intelligence;"Fathy, A; Rezk, H; Yousri, D; Alharbi, A G; Alshammari, S; Hassan, Y B";2023;"ENERGY; WASTE-WATER TREATMENT; artificial intelligence; bio-hydrogen; microbial electrolysis cell; optimization";In this research work, the best operating conditions of microbial electrolysis cells (MECs) were identified using artificial intelligence and modern optimization. MECs are innovative materials that can be used for simultaneous wastewater treatment and bio-hydrogen production. The main objective is the maximization of bio-hydrogen production during the wastewater treatment process by MECs. The suggested strategy contains two main stages: modelling and optimal parameter identification. Firstly, using adaptive neuro-Fuzzy inference system (ANFIS) modelling, an accurate model of the MES was created. Secondly, the optimal parameters of the operating conditions were determined using the jellyfish optimizer (JO). Three operating variables were studied: incubation temperature (degrees C), initial potential of hydrogen (pH), and influent chemical oxygen demand (COD) concentration (%). Using some measured data points, the ANFIS model was built for simulating the output of MFC considering the operating parameters. Afterward, a jellyfish optimizer was applied to determine the optimal temperature, initial pH, and influent COD concentration values. To demonstrate the accuracy of the proposed strategy, a comparison with previous approaches was conducted. For the modelling stage, compared with the response surface methodology (RSM), the coefficient of determination increased from 0.8953 using RSM to 0.963 using ANFIS, by around 7.56%. In addition, the RMSE decreased from 0.1924 (using RSM) to 0.0302 using ANFIS, whereas for the optimal parameter identification stage, the optimal values were 30.2 degrees C, 6.53, and 59.98 (%), respectively, for the incubation temperature, the initial potential of hydrogen (pH), and the influent COD concentration. Under this condition, the maximum rate of the hydrogen production is 1.252 m(3)H(2)/m(3)d. Therefore, the proposed strategy successfully increased the hydrogen production from 1.1747 m(3)H(2)/m(3)d to 1.253 m(3)H(2)/m(3)d by around 6.7% compared to RSM.;10.3390/su15043730
Scrutinizing the electrocatalytic activity of ultra-low Pt- and Se-doped Ni nanoparticles/porous carbon electrocatalysts for tri-iodide reduction and urea oxidation;"Aftabuzzaman, M; Rahman, M M; Zhou, H R; Masud; Lee, J; Matyjaszewski, K; Kim, H K";2026;"BIFUNCTIONAL CATALYSTS; COORDINATION ENVIRONMENT; Dye-sensitized solar cells; Electrocatalysts; HYDROGEN EVOLUTION; SINGLE; SITES; Single-atom doping; Surface reconstruction; TOTAL-ENERGY CALCULATIONS; Tri-iodide reduction reaction; Urea oxidation reaction";Surface reconstruction of electrocatalysts at the atomic scale is a powerful strategy to enhance catalytic performance by maximizing atomic utilization, modulating electronic structures, and generating highly active surface sites. In this work, ultra-low amounts of Pt and Se atoms were individually doped onto Ni nanoparticles embedded in a nitrogen-doped porous carbon (PC) matrix (denoted as Pt1Ni/PC and SexNi/PC) via wet impregnation and surface adsorption methods. These atomic-level-modified catalysts were applied to the triiodide reduction reaction (IRR) and the urea oxidation reaction (UOR), demonstrating excellent catalytic activity and stability. For the IRR, both catalysts exhibited low charge transfer resistance (R-ct), resulting in high power conversion efficiencies in N719-based dye-sensitized solar cells (DSSCs). In the UOR, the catalysts achieved high current densities, low overpotentials, and small Tafel slopes, highlighting their fast reaction kinetics and superior electrocatalytic performance. Notably, a two-electrode system employing these catalysts delivered a current density of 50 mA cm(-2) at a low cell voltage of 1.57 V, which is approximately 0.22 V lower than that required for OER-driven water electrolysis (1.79 V). This performance underscores their promise for sustainable hydrogen production, direct urea fuel cells, and wastewater treatment applications. Density functional theory calculations further support the experimental findings, revealing that the atomic-level modification significantly enhances the electronic structure and catalytic activity of the Ni/PC framework.;10.1016/j.cej.2026.176375
Mechanistic insights into urea-assisted NiCu electrocatalysts for enhanced ammonia electrolysis from concentrated wastewater;"Zhang, R H; Liu, Y; Xu, L J; Pan, W L; Zhao, Y P; Wang, C; Zhang, Z H; Gu, L; He, Q; Wang, X Z";2026;"Ammonia electrolysis; CATALYST; Concentrated wastewater; DECOMPOSITION; ELECTRODEPOSITION; HYDROLYSIS; NiCu bimetallic catalyst; OXIDATION; Urea";"Urea is widely adopted in the synthesis of NiCu catalysts, yet its intrinsic regulatory mechanism during electrodeposition remains ambiguous. In this study, experiments combined with molecular dynamics (MD) simulations were used to uncover the modulation effect of urea on Ni/Cu electrodeposition for electrocatalytic NH3 cracking toward H2 production. Among the three tested urea concentrations (0, 5, and 10 mmol L-1), 5 mmol L-1 was identified as the optimal dosage. This optimal condition yielded the maximum current density (47.47 mA cm-2) and the largest electrochemically active surface area (243.33 cm2). The as-fabricated NiCu catalyst achieved an outstanding NH3-N degradation efficiency of 91.44%, a nitrogen selectivity of 73.21%, a Faradaic efficiency of 53.57%, and a minimized energy consumption of 16.08 kW & centerdot;h kg-1 . Combined electrode characterization and MD simulations revealed an explicit structure-performance relationship: urea retarded the migration of Ni2+ and Cu2+ and regulated their deposition kinetics, thereby enabling a uniform Ni-Cu elemental distribution. This study demonstrates that a moderate urea concentration is a feasible strategy to tailor NiCu deposition behavior, providing a rational guideline for the targeted design of high-efficiency alloy electrocatalysts.";10.1016/j.mtcomm.2026.115569
"Manipulation of Hydrogen Transfer Behaviors by RhCu Alloying Enables an All-in-one Sustainable ""Furfural-Nitrate"" System";"Long, X; Zhao, B; Liu, D N; Fu, G D; Yang, H; Feng, R F; Chen, N; Ding, H K; Wu, J Y; Liao, Y F; Liu, S Q; Zhang, Y; Fu, X Z; Luo, J L";2025;"CURRENT-DENSITY; Copper-rhodium nanoalloy; Electrochemical ammonia synthesis; Hydrogen regulation and production; Multifunctional galvanic cell; REDUCTION; Wastes recycling";"Nitrate and furfural are typical wastes mainly from industrialization and agriculturalization progresses, and their clean conversions are still very challenging for a sustainable future. Nevertheless, scant attention has been devoted to the core issues: the rational integration of two wastes recycling and the targeted manipulation of hydrogen (H*) transfer behaviors to address their sluggish reaction kinetics. Herein, we report an all-in-one electrochemical energy system that is thermodynamically designed by coupling nitrate reduction (NO3RR) and furfural oxidation reactions (FORs) together. Particularly, the poor kinetics for both electrode reactions are efficaciously optimized by the bifunctional electrocatalyst of RhCu alloy nanowires on copper foam (RhCu NW/CF) with highly improved dual-directional H*-modulation performances, thus initializing NO3RR for NH3 synthesis at +0.31 V and driving FOR for H2 harvest at an onset potential lower than 0 V. Eventually, such integrated ""Furfural-Nitrate"" system can simultaneously effectuate the electricity energy supply (10.76 mW cm-2), wastewater purification, cathodic hydrogen storage (NH3), anodic H2 production, and biomass upgrading. Hence, it provides a promising perspective of ""turning waste into treasure"" in a rational manner, justifying its all-in-one property in addressing the global challenge of sustainable energy.";10.1002/anie.202503424
Parametric analysis of wastewater electrolysis for green hydrogen production: A combined RSM, genetic algorithm, and particle swarm optimization approach;"Ahmad, A; Yadav, A K";2024;"BIOMASS; DRY; Electrolysis; GA; HEAT; HHO; HHO GAS; Optimization; PERFORMANCE; PSO; Prediction; RSM; SYSTEM";The production of green hydrogen from wastewater presents a significant opportunity to address environmental challenges associated with wastewater treatment and fulfill the increasing demand for renewable and sustainable energy sources. This study aimed to determine the optimal operating parameters for maximizing hydrogen production through wastewater electrolysis. To design the experimental runs, a Box-Behnken design (BBD) with an L17 array was implemented, while Response Surface Methodology (RSM) in conjunction with Genetic Algorithms (GA) and Particle Swarm Optimization (PSO) was employed to develop predictive models and optimize the operating parameters. The operating parameters considered were the catalyst amount (g), electrode voltage (V), and electrolysis time (min), and the response variable was the oxyhydrogen (HHO) gas generation rate (L/ min). The comparative analysis shows that the optimized parameters obtained through RSM surpassed those obtained through GA and PSO, with a catalyst amount of 99.42 g, an electrode voltage of 22.9 V, and an electrolysis time of 23.17 min. Consequently, the HHO generation rate reached a maximum value of 12.42 L/ min. Furthermore, the experimental validation indicated a close agreement between the model's predicted results and the actual experimental outcomes. This study shows the effectiveness of combining RSM, GA, and PSO for accurate prediction and optimization of operating parameters in wastewater electrolysis for green hydrogen production. The identified optimal conditions contribute to enhanced efficiency and increased hydrogen yield, thereby promoting the advancement of sustainable energy systems.;10.1016/j.ijhydene.2024.01.302
Unlocking indirect urea oxidation on sulfate-intercalated ?-type nickel hydroxide through regenerative Ni(OH)2/Ni(OH)O redox cycling;"Yi, X F; Wei, Y; Li, W J; Xiong, J Y; Han, C";2026;"INSIGHT; Ni(OH)O cycling; Sulfate intercalation; Urea oxidation reaction; alpha-Ni(OH)(2)";The urea oxidation reaction (UOR) is a promising alternative to the sluggish oxygen evolution reaction (OER) for energy-efficient hydrogen production, owing to its lower thermodynamic barrier and applicability in treating urea-rich wastewater. However, developing efficient UOR catalysts remains challenging due to the involvement of NiOOH as the conventional active phase. Herein, we report a sulfate-intercalated alpha-Ni(OH)(2) electrocatalyst synthesized via a facile hydrothermal method. Sulfate intercalation suppresses stable NiOOH formation through steric hindrance and charge delocalization, favoring the generation of active Ni(OH)O species. These defect sites enable rapid dehydrogenation, thereby accelerating reaction kinetics. Density functional theory calculations further reveal improved electronic conductivity. The catalyst exhibits good UOR performance, delivering low potentials of 1.406 and 1.431 V vs. RHE at 50 and 100 mA cm(-2), respectively. In a urea-assisted electrolyzer, it achieves stable hydrogen production at 1.58 V at 50 mA cm(-2). Overall, this work provides an effective strategy for optimizing Ni(OH)(2)-based catalysts and highlights UOR as a viable alternative to OER.;10.1016/j.mtener.2026.102321
Solar STEP organic decomposition plus hydrogen: A novel approach to efficient degradation of organic pollutants exemplified by acrylonitrile;"Yuan, D D; Shen, X Y; Tian, L; Gu, D; Zhu, L Y; Wang, B H";2016;"Acrylonitrile; CARBON CAPTURE; DIOXIDE; ENERGY; Electrochemical oxidation; Hydrogen; OXIDATION; Organic decomposition; PERFORMANCE; PHOTOCATALYTIC DEGRADATION; REDUCED GRAPHENE OXIDE; REMOVAL; STEP process; Solar; THERMAL ELECTROCHEMICAL PRODUCTION; WASTE-WATER TREATMENT";The Solar Thermal Electrochemical Process has been adapted to an organic decomposition reaction for application in wastewater treatment plus hydrogen production. The theory and process are proposed and exemplified by efficient decomposition of acrylonitrile (AN) as a model compound of environmental pollutants. The results demonstrate thermodynamically that a decrease in the decomposition energy/electrolysis potential can be achieved with an increase in reaction temperature by solar heating, which also leads to improved reaction kinetics to sustain high rates of decomposition at low electrochemical overpotential. It is demonstrated experimentally that the STEP decomposition process of organic pollutants plus hydrogen production is performed with high efficiency for the removal of acrylonitrile by 21.6% at 25 degrees C, 34.5% at 40 degrees C, and 56.3% at 75 degrees C using an applied current of 50 mA. The process provides lower potential and higher efficiency compared with the conventional electrochemical oxidation by balancing and controlling the thermal and electrochemical components. Based on the results of the CV, GC and experimental analysis, the pathways are proposed and explained for the thermo- and electrochemical decomposition of acrylonitrile using the solar STEP process. Due to the solar thermo- and electrochemical combination, this pathway is shifted from the indirect reaction of the conventional electrooxidation involving several intermediates to a direct pathway with rapid rate and high efficiency with synergetic production of hydrogen. (C) 2016 Hydrogen Energy Publications LLC. Published by Elsevier Ltd. All rights reserved.;10.1016/j.ijhydene.2016.07.253
Heteroatom-Engineering Promoted Co9S8 Bi-functional Electrocatalyst for Hydrazine-Assisted Hydrogen Production at Industrial Current Density;"Meng, Y Y; Xiang, C Y; Zhang, W B; Zeng, D H; Du, B; Zhong, B; Jiang, Y; Voiry, D; Gao, Q S";2026;"CARBON; CATALYST; bifunctional electrocatalyst; energy-saving hydrogen production; heteroatom engineering; hydrazine-assisted water splitting";Hydrazine-assisted water electrolysis is promising to achieve energy-saving hydrogen production in combination with removal of hydrazine contamination, but efficient electrocatalysts to accelerate hydrogen evolution and hydrazine oxidation reactions (HER and HzOR) collaboratively remain challenging. Here, we report the synthesis of Fe and P co-doped Co9S8 (Fe, P-Co9S8) nanocorals as bifunctional electrocatalysts toward HER and HzOR, with the industrial current density of +/- 500 mA cm-2 at only -280 and 225 mV versus RHE in 1.0 m KOH, respectively. The combined experimental and theoretical analysis unveil the electronic regulation via Fe and P co-doping, not only lowers the water dissociation barrier and optimizes the H* adsorption/desorption for HER, but also favors the deprotonation kinetics for HzOR. When integrated into an anion-exchange membrane electrolyzer, Fe, P-Co9S8 achieves outstanding hydrazine-assisted electrolysis with a cell voltage of only similar to 404 mV at 500 mA cm-2 - far lower than that of conventional water splitting. This energy-saving hydrogen production can be directly powered by a poly-Si solar cell or direct hydrazine fuel cell (DHzFC). Simultaneously, hydrazine-containing wastewater (0.5 M) is rapidly decomposed to similar to 7 ppb, below the allowable threshold for industrial recycled water. These results underscore the strong practical potential of Fe, P-Co9S8 catalysts in addressing both energy and environmental challenges.;10.1002/adfm.202524807
A corrosion-resistant diamond-supported NiFe-LDH electrode for efficient oxygen evolution;"Su, M Y; Zhu, S L; Cui, Z D; Li, Z Y; Wu, S L; Xu, W C; Gao, Z H; Liang, Y Q; Jiang, H";2026;"Advanced oxidation process; Boron-doped diamond; Electrocatalytic water splitting; HYDROGEN; Hydroxyl radical; Nickel-iron layered double hydroxide; Oxygen evolution reaction; WASTE-WATER; Wastewater purification";Nickel-iron layered double hydroxide (NiFe-LDH) is a highly efficient oxygen evolution catalyst, whose activity stems from the in situ formation of the active beta-NiOOH phase during anodic polarization. However, its practical stability is limited by substrate corrosion and degradation under high potentials. This work pioneers a corrosion-resistant NiFe-LDH electrocatalyst based on boron-doped diamond (BDD), which exhibits exceptional substrate durability with an extremely low corrosion current density of only 2.33 mu A cm-2 in 1 M KOH. The NiFe-LDH/ BDD electrode exhibits an outstanding oxygen evolution reaction performance, requiring an overpotential of just 254 mV to deliver 10 mA cm-2 and a very low Tafel slope of 34 mV dec-1, indicating favorable reaction kinetics. Furthermore, we propose a conceptually integrated system that enables synergistic organic wastewater purification and green hydrogen production in a single electrolytic cell. This work highlights the potential of NiFe-LDH/BDD as a durable OER electrode, and further demonstrates its conceptual applicability in wastewater-integrated electrolysis, offering a promising direction for sustainable resource recovery.;10.1016/j.jallcom.2026.187167
